-23.37,149.59,26.6,18.8,16.9,76.0,14.2,2.2,94,h
-23.36,149.59,26.6,18.8,16.9,76.0,14.2,2.2,94,h
-23.37,149.59,26.6,18.8,16.9,76.0,14.2,2.2,94,h
-23.37,149.59,26.6,18.8,16.9,76.0,14.2,2.2,94,h
-19.74,146.48,25.5,18.7,27.0,69.0,13.9,10.1,91,h
-19.74,146.49,25.5,18.7,27.0,69.0,13.9,10.1,91,h
-19.74,146.48,25.5,18.7,27.0,69.0,13.9,10.1,91,h
-19.74,146.49,25.5,18.7,27.0,69.0,13.9,10.1,91,h
-9.67,148.7,29.3,23.7,8.3,87.0,21.3,3.2,97,h
-9.35,149.07,29.3,23.7,8.3,87.0,21.3,3.2,97,h
-9.67,148.7,29.3,23.7,8.3,87.0,21.3,3.2,97,h
-9.34,147.01,28.5,25.2,29.2,83.0,23.6,12.2,90,h
57.84,134.09,19.5,15.5,11.5,63.0,13.6,4.7,91,h
57.84,134.21,19.5,15.5,11.5,63.0,13.6,4.7,91,h
57.84,134.21,19.5,15.5,11.5,63.0,13.6,4.7,91,h
57.82,134.13,19.5,15.5,11.5,63.0,13.6,4.7,91,h
57.82,134.2,19.5,15.5,11.5,63.0,13.6,4.7,91,h
59.72,136.11,17.3,14.2,14.4,69.0,12.7,6.0,82,h
59.72,136.1,17.3,14.2,14.4,69.0,12.7,6.0,82,h
58.76,133.81,17.3,14.2,14.4,69.0,12.7,6.0,82,h
57.46,133.23,20.9,14.8,17.6,61.0,10.2,1.8,82,h
57.76,134.7,19.5,15.5,11.5,63.0,13.6,4.7,91,h
57.76,134.7,19.5,15.5,11.5,63.0,13.6,4.7,91,h
57.58,133.37,20.9,14.8,17.6,61.0,10.2,1.8,82,h
57.81,134.18,19.5,15.5,11.5,63.0,13.6,4.7,91,h
57.81,134.17,19.5,15.5,11.5,63.0,13.6,4.7,91,h
57.82,134.2,19.5,15.5,11.5,63.0,13.6,4.7,91,h
57.86,134.53,19.5,15.5,11.5,63.0,13.6,4.7,91,h
57.8,134.18,19.5,15.5,11.5,63.0,13.6,4.7,91,h
